LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
1800                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
2367                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
2422                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
2575                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
30                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
3081                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
322                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
323                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
877                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
993                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
995                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 528875              182875              F 
1249                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
1444                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
1468                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
1641                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
1897                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
19                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
1970                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
2052                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
2275                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
2293                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
248                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
266                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
2700                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
2716                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
2869                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
3037                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
3157                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
3177                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
3247                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
3298                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
33                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
34                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
36                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
381                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
436                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
44                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
48                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
485                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
50                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
555                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
600                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
605                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
653                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
661                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
699                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
703                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
74                              2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
779                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
8                               2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
866                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
879                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
891                             2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182375              F 
1106                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
1380                            2                   0.00100             14                  1.91                7.34                n/a                 n/a                 n/a                 529375              182875              F 
